chromosome,bp_min,bp_max,num_nodes,num_links,num_gendered_links,num_married,num_married_within_slice,num_married_ibd_links
1,82154,2694010,3743,90,49,1246,592,1
1,2694010,3208375,4538,107,56,1246,725,1
1,3208375,3217151,4554,108,56,1246,728,1
1,3217151,3754596,5975,150,80,1246,969,1
1,3754596,4277935,6238,160,83,1246,1006,0
1,4277935,4927798,6891,200,104,1246,1138,0
1,4927798,5511715,7806,311,149,1246,1301,1
1,5511715,5523046,6827,274,130,1246,1154,1
1,5523046,6126343,8935,560,271,1246,1484,1
1,6126343,6606006,8648,538,257,1246,1417,1
1,6606006,7538772,8288,485,231,1246,1344,2
1,7538772,8868406,6786,231,111,1246,1107,3
1,8868406,9535691,6717,197,102,1246,1052,3
1,9535691,10888791,8225,400,210,1246,1343,2
1,10888791,11310456,8578,483,246,1246,1399,1
1,11310456,11789406,8505,490,244,1246,1383,1
1,11789406,12998343,9240,465,227,1246,1474,1
1,12998343,13901884,7420,266,125,1246,1186,0
1,13901884,14588963,7713,295,138,1246,1232,1
1,14588963,15125699,7148,249,130,1246,1137,1
1,15125699,15800519,11302,2136,1081,1246,1852,2
1,15800519,16621183,11386,2419,1219,1246,1877,1
1,16621183,17459326,11434,2431,1224,1246,1890,1
1,17459326,18236459,11294,2019,998,1246,1852,2
1,18236459,18678170,8987,528,248,1246,1435,2
1,18678170,19017855,8737,530,249,1246,1380,2
1,19017855,19240621,8908,536,253,1246,1414,2
1,19240621,20390322,8507,397,182,1246,1340,1
1,20390322,21563694,7163,179,88,1246,1107,0
1,21563694,22936072,7501,215,107,1246,1168,0
1,22936072,23884369,6776,190,94,1246,1068,0
1,23884369,25064027,6657,204,99,1246,1054,0
1,25064027,27068202,7905,319,140,1246,1271,1
1,27068202,28868324,7411,292,138,1246,1188,1
1,28868324,30407575,7977,320,147,1246,1308,1
1,30407575,31075361,7647,268,135,1246,1260,1
1,31075361,31713684,7839,299,162,1246,1287,1
1,31713684,33875477,8063,330,182,1246,1329,1
1,33875477,34452400,8431,378,213,1246,1394,1
1,34452400,35776603,8749,393,207,1246,1422,0
1,35776603,36919514,7976,340,179,1246,1292,0
1,36919514,37839088,8993,437,229,1246,1479,0
1,37839088,38538041,8271,365,186,1246,1347,0
1,38538041,39457859,10649,1142,572,1246,1715,2
1,39457859,40368162,10385,1440,722,1246,1681,2
1,40368162,40964776,10557,1499,749,1246,1714,2
1,40964776,42879911,10300,1257,614,1246,1696,1
1,42879911,44604367,8046,448,217,1246,1352,0
1,44604367,47321982,8236,458,227,1246,1385,0
1,47321982,48150309,8031,474,228,1246,1348,0
1,48150309,51748711,8817,523,251,1246,1459,0
1,51748711,53838156,9185,599,289,1246,1521,0
1,53838156,54508231,8935,559,266,1246,1462,0
